ph,temperature,turbidity,timestamp
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
14.0,36.06,20.0,1784018884
7.0,36.5,0.0,1784020085
7.0,36.5,42.0,1784020090
6.99,36.44,0.0,1784020095
7.01,36.44,0.0,1784020100
6.99,36.44,0.0,1784020105
7.04,36.25,0.0,1784020110
7.0,36.13,25.0,1784020115
7.0,35.88,0.0,1784020120
7.0,35.75,33.0,1784020125
7.0,35.69,25.0,1784020130
7.01,35.69,50.0,1784020135
